Name	Date
Yearling	2012-01-27 20:48:48
Constable	2012-02-26 22:42:39
Nice Answer	2012-05-13 04:22:20
Self-Learner	2012-06-18 14:20:33
Custodian	2012-09-21 23:29:02
Notable Question	2012-10-04 14:33:13
Yearling	2013-01-27 20:44:21
Informed	2013-02-01 02:41:21
Good Question	2013-07-10 06:16:13
Good Answer	2013-08-15 01:47:02
Popular Question	2013-10-15 10:40:08
Yearling	2014-01-27 20:46:13
Good Answer	2014-02-01 15:41:32
Cleanup	2014-02-03 18:28:36
Outspoken	2014-03-28 08:58:56
Nice Question	2014-06-13 19:31:22
Yearling	2015-01-27 20:47:05
Nice Answer	2015-04-07 09:37:40
Mortarboard	2015-04-07 19:17:30
Good Answer	2015-04-08 13:57:56
Guru	2015-04-25 19:28:01
Populist	2015-05-02 03:44:11
Pundit	2015-07-26 08:39:38
Nice Question	2015-07-26 23:42:52
Taxonomist	2015-12-17 14:10:12
Nice Answer	2016-01-13 04:33:15
Yearling	2016-01-27 20:46:37
Famous Question	2016-02-10 22:42:00
Caucus	2016-03-22 03:02:09
Constituent	2016-04-02 03:55:36
Nice Answer	2016-04-24 02:51:33
Good Answer	2016-06-22 14:58:35
Yearling	2017-01-27 20:55:07
Yearling	2018-01-27 21:02:34
Caucus	2018-02-13 03:56:23
Great Question	2018-05-15 22:03:51
Nice Answer	2018-08-01 10:40:05
Yearling	2019-01-27 20:45:27
Good Question	2019-03-22 21:25:06
Good Answer	2019-08-30 12:55:12
Notable Question	2019-12-03 15:40:24
Announcer	2019-12-12 23:55:13
Yearling	2020-01-27 20:45:06
Caucus	2020-09-17 22:11:00
Yearling	2021-01-27 20:50:17
